,file_name,ldeg,gdeg,id
0,1000_ep0.0075_0_gilbert_1.in,0.994,0.994,0
1,1000_ep0.0075_0_gilbert_10.in,0.995,0.995,1
2,1000_ep0.0075_0_gilbert_2.in,0.995,0.995,2
3,1000_ep0.0075_0_gilbert_3.in,0.994,0.994,3
4,1000_ep0.0075_0_gilbert_4.in,0.001,0.994,4
5,1000_ep0.0075_0_gilbert_5.in,0.994,0.994,5
6,1000_ep0.0075_0_gilbert_6.in,0.994,0.994,6
7,1000_ep0.0075_0_gilbert_7.in,0.994,0.994,7
8,1000_ep0.0075_0_gilbert_8.in,0.994,0.994,8
9,1000_ep0.0075_0_gilbert_9.in,0.994,0.995,9
10,1000_ep0.0125_0_gilbert_1.in,0.996,0.996,10
11,1000_ep0.0125_0_gilbert_10.in,0.995,0.995,11
12,1000_ep0.0125_0_gilbert_2.in,0.996,0.996,12
13,1000_ep0.0125_0_gilbert_3.in,0.996,0.996,13
14,1000_ep0.0125_0_gilbert_4.in,0.995,0.996,14
15,1000_ep0.0125_0_gilbert_5.in,0.996,0.996,15
16,1000_ep0.0125_0_gilbert_6.in,0.996,0.996,16
17,1000_ep0.0125_0_gilbert_7.in,0.996,0.996,17
18,1000_ep0.0125_0_gilbert_8.in,0.996,0.996,18
19,1000_ep0.0125_0_gilbert_9.in,0.996,0.996,19
20,1000_ep0.01_0_gilbert_1.in,0.996,0.996,20
21,1000_ep0.01_0_gilbert_10.in,0.995,0.996,21
22,1000_ep0.01_0_gilbert_2.in,0.995,0.995,22
23,1000_ep0.01_0_gilbert_3.in,0.995,0.995,23
24,1000_ep0.01_0_gilbert_4.in,0.995,0.995,24
25,1000_ep0.01_0_gilbert_5.in,0.995,0.995,25
26,1000_ep0.01_0_gilbert_6.in,0.995,0.995,26
27,1000_ep0.01_0_gilbert_7.in,0.996,0.996,27
28,1000_ep0.01_0_gilbert_8.in,0.995,0.995,28
29,1000_ep0.01_0_gilbert_9.in,0.995,0.995,29
30,100_ep0.05_0_gilbert_1.in,0.93,0.93,30
31,100_ep0.05_0_gilbert_10.in,0.94,0.95,31
32,100_ep0.05_0_gilbert_2.in,0.95,0.95,32
33,100_ep0.05_0_gilbert_3.in,0.95,0.95,33
34,100_ep0.05_0_gilbert_4.in,0.95,0.95,34
35,100_ep0.05_0_gilbert_5.in,0.96,0.96,35
36,100_ep0.05_0_gilbert_6.in,0.95,0.95,36
37,100_ep0.05_0_gilbert_7.in,0.93,0.94,37
38,100_ep0.05_0_gilbert_8.in,0.94,0.95,38
39,100_ep0.05_0_gilbert_9.in,0.92,0.94,39
40,100_ep0.075_0_gilbert_1.in,0.96,0.96,40
41,100_ep0.075_0_gilbert_10.in,0.96,0.96,41
42,100_ep0.075_0_gilbert_2.in,0.96,0.96,42
43,100_ep0.075_0_gilbert_3.in,0.96,0.96,43
44,100_ep0.075_0_gilbert_4.in,0.96,0.96,44
45,100_ep0.075_0_gilbert_5.in,0.96,0.96,45
46,100_ep0.075_0_gilbert_6.in,0.96,0.96,46
47,100_ep0.075_0_gilbert_7.in,0.96,0.96,47
48,100_ep0.075_0_gilbert_8.in,0.96,0.96,48
49,100_ep0.075_0_gilbert_9.in,0.96,0.96,49
50,100_ep0.1_0_gilbert_1.in,0.97,0.97,50
51,100_ep0.1_0_gilbert_10.in,0.96,0.96,51
52,100_ep0.1_0_gilbert_2.in,0.96,0.96,52
53,100_ep0.1_0_gilbert_3.in,0.97,0.97,53
54,100_ep0.1_0_gilbert_4.in,0.97,0.97,54
55,100_ep0.1_0_gilbert_5.in,0.97,0.97,55
56,100_ep0.1_0_gilbert_6.in,0.97,0.96,56
57,100_ep0.1_0_gilbert_7.in,0.96,0.96,57
58,100_ep0.1_0_gilbert_8.in,0.97,0.97,58
59,100_ep0.1_0_gilbert_9.in,0.96,0.97,59
60,500_ep0.015_0_gilbert_1.in,0.99,0.988,60
61,500_ep0.015_0_gilbert_10.in,0.99,0.99,61
62,500_ep0.015_0_gilbert_2.in,0.988,0.99,62
63,500_ep0.015_0_gilbert_3.in,0.99,0.99,63
64,500_ep0.015_0_gilbert_4.in,0.99,0.99,64
65,500_ep0.015_0_gilbert_5.in,0.99,0.99,65
66,500_ep0.015_0_gilbert_6.in,0.99,0.992,66
67,500_ep0.015_0_gilbert_7.in,0.99,0.99,67
68,500_ep0.015_0_gilbert_8.in,0.99,0.99,68
69,500_ep0.015_0_gilbert_9.in,0.99,0.99,69
70,500_ep0.025_0_gilbert_1.in,0.992,0.992,70
71,500_ep0.025_0_gilbert_10.in,0.992,0.992,71
72,500_ep0.025_0_gilbert_2.in,0.992,0.992,72
73,500_ep0.025_0_gilbert_3.in,0.992,0.992,73
74,500_ep0.025_0_gilbert_4.in,0.992,0.992,74
75,500_ep0.025_0_gilbert_5.in,0.992,0.992,75
76,500_ep0.025_0_gilbert_6.in,0.992,0.992,76
77,500_ep0.025_0_gilbert_7.in,0.992,0.992,77
78,500_ep0.025_0_gilbert_8.in,0.992,0.992,78
79,500_ep0.025_0_gilbert_9.in,0.992,0.992,79
80,500_ep0.02_0_gilbert_1.in,0.992,0.992,80
81,500_ep0.02_0_gilbert_10.in,0.992,0.992,81
82,500_ep0.02_0_gilbert_2.in,0.992,0.99,82
83,500_ep0.02_0_gilbert_3.in,0.992,0.992,83
84,500_ep0.02_0_gilbert_4.in,0.992,0.992,84
85,500_ep0.02_0_gilbert_5.in,0.992,0.992,85
86,500_ep0.02_0_gilbert_6.in,0.992,0.992,86
87,500_ep0.02_0_gilbert_7.in,0.99,0.99,87
88,500_ep0.02_0_gilbert_8.in,0.992,0.992,88
89,500_ep0.02_0_gilbert_9.in,0.992,0.992,89
90,50_ep0.15_0_gilbert_1.in,0.92,0.94,90
91,50_ep0.15_0_gilbert_10.in,0.94,0.94,91
92,50_ep0.15_0_gilbert_2.in,0.92,0.92,92
93,50_ep0.15_0_gilbert_3.in,0.92,0.92,93
94,50_ep0.15_0_gilbert_4.in,0.92,0.94,94
95,50_ep0.15_0_gilbert_5.in,0.92,0.92,95
96,50_ep0.15_0_gilbert_6.in,0.94,0.94,96
97,50_ep0.15_0_gilbert_7.in,0.94,0.94,97
98,50_ep0.15_0_gilbert_8.in,0.94,0.94,98
99,50_ep0.15_0_gilbert_9.in,0.92,0.92,99
100,50_ep0.1_0_gilbert_1.in,0.88,0.88,100
101,50_ep0.1_0_gilbert_10.in,0.92,0.92,101
102,50_ep0.1_0_gilbert_2.in,0.9,0.9,102
103,50_ep0.1_0_gilbert_3.in,0.86,0.88,103
104,50_ep0.1_0_gilbert_4.in,0.9,0.92,104
105,50_ep0.1_0_gilbert_5.in,0.9,0.92,105
106,50_ep0.1_0_gilbert_6.in,0.88,0.9,106
107,50_ep0.1_0_gilbert_7.in,0.92,0.92,107
108,50_ep0.1_0_gilbert_8.in,0.88,0.88,108
109,50_ep0.1_0_gilbert_9.in,0.9,0.92,109
110,50_ep0.2_0_gilbert_1.in,0.94,0.94,110
111,50_ep0.2_0_gilbert_10.in,0.94,0.94,111
112,50_ep0.2_0_gilbert_2.in,0.94,0.94,112
113,50_ep0.2_0_gilbert_3.in,0.92,0.92,113
114,50_ep0.2_0_gilbert_4.in,0.94,0.94,114
115,50_ep0.2_0_gilbert_5.in,0.94,0.94,115
116,50_ep0.2_0_gilbert_6.in,0.94,0.94,116
117,50_ep0.2_0_gilbert_7.in,0.94,0.94,117
118,50_ep0.2_0_gilbert_8.in,0.94,0.94,118
119,50_ep0.2_0_gilbert_9.in,0.94,0.94,119
